date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:23	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202026%2010:02:33%20GMT	https://home.iitk.ac.in/robots.txt		(from )
15:42:24	8550/8550	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202026%2010:02:33%20GMT	https://home.iitk.ac.in/~abhish/	E:/abhish_web/home.iitk.ac.in/_abhish/index.html	(from )
15:42:24	1783/1783	---M--	200	added ('OK')	application/javascript	etag:%226f7-5bcc622168140%22	https://home.iitk.ac.in/~abhish/core/common.js	E:/abhish_web/home.iitk.ac.in/_abhish/core/common.js	(from https://home.iitk.ac.in/~abhish/)
15:42:24	9485/9485	---M--	200	added ('OK')	application/javascript	etag:%22250d-5bcc62225c380%22	https://home.iitk.ac.in/~abhish/plugins/mlbox/mlbox.js	E:/abhish_web/home.iitk.ac.in/_abhish/plugins/mlbox/mlbox.js	(from https://home.iitk.ac.in/~abhish/)
15:42:24	11111/11111	---M--	200	added ('OK')	text/css	etag:%222b67-5bcc622168140%22	https://home.iitk.ac.in/~abhish/templates/default/style.css	E:/abhish_web/home.iitk.ac.in/_abhish/templates/default/style.css	(from https://home.iitk.ac.in/~abhish/)
15:42:24	1177/1177	---M--	200	added ('OK')	text/css	etag:%22499-5bcc622168140%22	https://home.iitk.ac.in/~abhish/templates/default/menu.css	E:/abhish_web/home.iitk.ac.in/_abhish/templates/default/menu.css	(from https://home.iitk.ac.in/~abhish/)
15:42:25	115389/115389	---M--	200	added ('OK')	image/jpeg	etag:%221c2bd-5bcc6219c6f40%22	https://home.iitk.ac.in/~abhish/files/abhishek.jpg	E:/abhish_web/home.iitk.ac.in/_abhish/files/abhishek.jpg	(from https://home.iitk.ac.in/~abhish/)
15:42:25	4452/4452	---M--	200	added ('OK')	image/jpeg	etag:%221164-5bcc62225c380%22	https://home.iitk.ac.in/~abhish/files/150/abhishek.jpg	E:/abhish_web/home.iitk.ac.in/_abhish/files/150/abhishek.jpg	(from https://home.iitk.ac.in/~abhish/)
15:42:25	8519/8519	---MC-	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202026%2010:02:34%20GMT	https://home.iitk.ac.in/~abhish/?sLang=pl	E:/abhish_web/home.iitk.ac.in/_abhish/index42ea.html	(from https://home.iitk.ac.in/~abhish/)
15:42:25	122665/122665	---M--	200	added ('OK')	image/jpeg	etag:%221df29-62a13dade2240%22	https://home.iitk.ac.in/~abhish/files/sabal-20.jpg	E:/abhish_web/home.iitk.ac.in/_abhish/files/sabal-20.jpg	(from https://home.iitk.ac.in/~abhish/)
15:42:27	6980/6980	---M--	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202026%2010:02:35%20GMT	https://home.iitk.ac.in/~abhish/?research,3	E:/abhish_web/home.iitk.ac.in/_abhish/index0f11.html	(from https://home.iitk.ac.in/~abhish/)
